chemin,class,classe_LOC,classe_CLOC,classe_DC,classe_WMC,classe_BC
E:\Downloads\jfree\data\,KeyedValueComparator,923,32,0.03466955579631636,4.5,0.007704345732514746

E:\Downloads\jfree\data\,KeyedValueComparatorType,820,4,0.004878048780487805,NaN,NaN

E:\Downloads\jfree\data\,KeyedValues,867,43,0.049596309111880045,1.0,0.049596309111880045

E:\Downloads\jfree\data\,KeyedValues2D,882,54,0.061224489795918366,1.0,0.061224489795918366

E:\Downloads\jfree\data\,KeyedValues2DItemKey,919,34,0.036996735582154515,1.625,0.02276722189671047

E:\Downloads\jfree\data\,KeyedValuesItemKey,888,23,0.0259009009009009,1.5,0.017267267267267267

E:\Downloads\jfree\data\,KeyToGroupMap,1078,91,0.08441558441558442,2.6153846,0.03227654743509572

E:\Downloads\jfree\data\,Range,1217,190,0.1561216105176664,2.173913,0.07181594220790694

E:\Downloads\jfree\data\,RangeInfo,868,29,0.03341013824884793,1.0,0.03341013824884793

E:\Downloads\jfree\data\,RangeType,843,4,0.004744958481613286,NaN,NaN

E:\Downloads\jfree\data\,UnknownKeyException,847,8,0.009445100354191263,1.0,0.009445100354191263

E:\Downloads\jfree\data\,Value,839,3,0.003575685339690107,NaN,NaN

E:\Downloads\jfree\data\,Values,857,14,0.01633605600933489,1.0,0.01633605600933489

E:\Downloads\jfree\data\,Values2D,863,22,0.02549246813441483,1.0,0.02549246813441483

E:\Downloads\jfree\chart\util\,AbstractObjectList,1043,88,0.08437200383509108,2.1538463,0.039172714064970256

E:\Downloads\jfree\chart\util\,Args,890,29,0.03258426966292135,2.0,0.016292134831460674

E:\Downloads\jfree\chart\util\,ArrayUtils,993,48,0.04833836858006042,5.1666665,0.009355813561379408

E:\Downloads\jfree\chart\util\,AttrStringUtils,1103,82,0.0743427017225748,2.0,0.0371713508612874

E:\Downloads\jfree\chart\util\,BooleanList,903,33,0.036544850498338874,1.2,0.030454040871814202

E:\Downloads\jfree\chart\util\,CloneUtils,944,34,0.036016949152542374,NaN,NaN

E:\Downloads\jfree\chart\util\,DefaultShadowGenerator,1104,93,0.08423913043478261,2.1538463,0.03911102284655025

E:\Downloads\jfree\chart\util\,DirectionalGradientPaintTransformer,955,45,0.04712041884816754,2.0,0.02356020942408377

